customer_id,customer_type,tenure_months,avg_order_value,purchase_frequency,category,days_since_last_purchase,churned,total_spend,avg_days_between_purchase,tenure_band,frequency_bucket,order_value_segment,rfm_segment
1,Loyal,12,274.03,7,Clothing,4,0,1918.18,51.4,6-12 months,6-10,High,Champions
2,Loyal,15,311.41,14,Books,23,0,4359.71,32.1,12-24 months,11-15,Premium,Champions
3,Loyal,24,302.49,5,Sports,26,0,1512.47,144,12-24 months,3-5,Premium,Champions
4,Loyal,22,313.95,17,Electronics,22,0,5337.13,38.8,12-24 months,15+,Premium,Champions
5,Returning,4,149.33,3,Home & Garden,20,0,447.99,40,3-6 months,3-5,Medium,Loyal Customers
6,Returning,4,188.48,5,Books,2,0,942.39,24,3-6 months,3-5,Medium,Champions
7,Returning,10,92.9,3,Sports,7,0,278.71,100,6-12 months,3-5,Low,Loyal Customers
8,New,1,138.4,2,Clothing,104,1,276.81,15,0-3 months,1-2,Medium,Need Attention
9,Returning,10,147.59,2,Home & Garden,6,0,295.17,150,6-12 months,1-2,Medium,Potential Loyalists
10,Loyal,35,143.79,16,Home & Garden,20,0,2300.71,65.6,24+ months,15+,Medium,Champions
11,Returning,3,113.38,2,Sports,7,0,226.76,45,0-3 months,1-2,Medium,Potential Loyalists
12,New,1,59.46,1,Electronics,8,0,59.46,30,0-3 months,1-2,Low,Need Attention
13,Returning,4,90.29,2,Electronics,1,0,180.58,60,3-6 months,1-2,Low,Potential Loyalists
14,Loyal,32,215.54,11,Home & Garden,27,0,2370.98,87.3,24+ months,11-15,High,Champions
15,Loyal,29,251.07,16,Home & Garden,6,0,4017.17,54.4,24+ months,15+,High,Champions
16,Loyal,16,306.97,11,Books,9,0,3376.71,43.6,12-24 months,11-15,Premium,Champions
17,New,2,114.96,2,Electronics,102,1,229.91,30,0-3 months,1-2,Medium,Need Attention
18,New,1,63.28,1,Electronics,3,0,63.28,30,0-3 months,1-2,Low,Need Attention
19,Returning,4,187.67,5,Electronics,14,0,938.36,24,3-6 months,3-5,Medium,Champions
20,Loyal,15,267.61,18,Home & Garden,29,0,4817.01,25,12-24 months,15+,High,Champions
21,New,1,102.68,1,Home & Garden,27,0,102.68,30,0-3 months,1-2,Medium,Need Attention
22,Returning,3,142.61,5,Home & Garden,18,0,713.07,18,0-3 months,3-5,Medium,Champions
23,New,3,124.32,2,Books,11,0,248.65,45,0-3 months,1-2,Medium,Potential Loyalists
24,Returning,7,205.63,2,Books,18,0,411.26,105,6-12 months,1-2,High,Potential Loyalists
25,Returning,11,85.06,5,Books,18,0,425.28,66,6-12 months,3-5,Low,Loyal Customers
26,New,1,116.51,2,Sports,21,0,233.01,15,0-3 months,1-2,Medium,Potential Loyalists
27,Returning,8,89.74,2,Sports,79,1,179.48,120,6-12 months,1-2,Low,Need Attention
28,Loyal,27,233.33,15,Sports,16,0,3499.97,54,24+ months,11-15,High,Champions
29,Returning,7,155.53,6,Electronics,28,0,933.21,35,6-12 months,6-10,Medium,Champions
30,Returning,8,111.35,2,Electronics,23,0,222.7,120,6-12 months,1-2,Medium,Potential Loyalists
31,New,1,51.63,2,Sports,12,0,103.25,15,0-3 months,1-2,Low,Potential Loyalists
32,Loyal,31,171.75,15,Clothing,3,0,2576.21,62,24+ months,11-15,Medium,Champions
33,Returning,8,120.46,6,Electronics,80,1,722.75,40,6-12 months,6-10,Medium,Big Spenders
34,New,3,88.26,1,Sports,5,0,88.26,90,0-3 months,1-2,Low,Need Attention
35,Loyal,36,306.11,12,Electronics,5,0,3673.37,90,24+ months,11-15,Premium,Champions
36,New,2,74.71,2,Electronics,19,0,149.42,30,0-3 months,1-2,Low,Potential Loyalists
37,New,1,116.55,1,Sports,135,1,116.55,30,0-3 months,1-2,Medium,At Risk
38,Loyal,14,223.82,7,Electronics,73,1,1566.71,60,12-24 months,6-10,High,Big Spenders
39,New,1,64.12,1,Sports,28,0,64.12,30,0-3 months,1-2,Low,Need Attention
40,New,3,136.51,2,Books,13,0,273.02,45,0-3 months,1-2,Medium,Potential Loyalists
41,Loyal,15,124.85,15,Sports,2,0,1872.74,30,12-24 months,11-15,Medium,Champions
42,New,3,145.19,2,Books,70,1,290.38,45,0-3 months,1-2,Medium,Need Attention
43,Returning,3,227.21,2,Home & Garden,29,0,454.42,45,0-3 months,1-2,High,Potential Loyalists
44,Loyal,14,209.22,8,Books,27,0,1673.73,52.5,12-24 months,6-10,High,Champions
45,New,2,117.93,1,Home & Garden,82,1,117.93,60,0-3 months,1-2,Medium,At Risk
46,Returning,5,82.15,5,Clothing,12,0,410.76,30,3-6 months,3-5,Low,Loyal Customers
47,New,3,128.46,2,Clothing,19,0,256.92,45,0-3 months,1-2,Medium,Potential Loyalists
48,New,3,82.33,2,Electronics,87,1,164.67,45,0-3 months,1-2,Low,Need Attention
49,Returning,6,224.59,6,Sports,23,0,1347.56,30,3-6 months,6-10,High,Champions
50,Loyal,30,127.95,19,Sports,9,0,2431.07,47.4,24+ months,15+,Medium,Champions
51,Loyal,20,296.81,19,Books,8,0,5639.47,31.6,12-24 months,15+,High,Champions
52,Returning,7,204.54,3,Clothing,60,1,613.61,70,6-12 months,3-5,High,Big Spenders
53,Returning,7,111.74,3,Clothing,137,1,335.22,70,6-12 months,3-5,Medium,Need Attention
54,New,3,86.15,1,Electronics,72,1,86.15,90,0-3 months,1-2,Low,At Risk
55,Loyal,22,242.64,11,Books,6,0,2669.01,60,12-24 months,11-15,High,Champions
56,Returning,3,125.01,3,Books,11,0,375.04,30,0-3 months,3-5,Medium,Loyal Customers
57,New,3,125.55,1,Home & Garden,145,1,125.55,90,0-3 months,1-2,Medium,At Risk
58,Returning,6,126.92,4,Electronics,86,1,507.68,45,3-6 months,3-5,Medium,Big Spenders
59,Returning,9,125.79,4,Electronics,23,0,503.16,67.5,6-12 months,3-5,Medium,Loyal Customers
60,Loyal,14,133.25,10,Books,20,0,1332.49,42,12-24 months,6-10,Medium,Champions
61,Returning,4,219.36,4,Clothing,10,0,877.45,30,3-6 months,3-5,High,Loyal Customers
62,Loyal,13,165.42,12,Clothing,3,0,1985.04,32.5,12-24 months,11-15,Medium,Champions
63,Loyal,17,178.73,10,Sports,9,0,1787.28,51,12-24 months,6-10,Medium,Champions
64,Returning,11,149.3,4,Home & Garden,8,0,597.22,82.5,6-12 months,3-5,Medium,Loyal Customers
65,Returning,7,89.84,3,Home & Garden,10,0,269.52,70,6-12 months,3-5,Low,Loyal Customers
66,New,1,93.77,1,Electronics,135,1,93.77,30,0-3 months,1-2,Low,At Risk
67,Returning,8,216.75,3,Books,4,0,650.24,80,6-12 months,3-5,High,Loyal Customers
68,Returning,10,203.12,3,Home & Garden,15,0,609.35,100,6-12 months,3-5,High,Loyal Customers
69,New,1,99.84,1,Electronics,9,0,99.84,30,0-3 months,1-2,Low,Need Attention
70,Returning,3,121.69,2,Books,139,1,243.38,45,0-3 months,1-2,Medium,Need Attention
71,New,3,99.26,2,Home & Garden,110,1,198.52,45,0-3 months,1-2,Low,Need Attention
72,New,3,97.58,2,Electronics,121,1,195.16,45,0-3 months,1-2,Low,Need Attention
73,Returning,8,164.13,6,Home & Garden,110,1,984.78,40,6-12 months,6-10,Medium,Big Spenders
74,Returning,3,92.17,5,Home & Garden,17,0,460.83,18,0-3 months,3-5,Low,Loyal Customers
75,New,3,86.99,1,Sports,148,1,86.99,90,0-3 months,1-2,Low,At Risk
76,Loyal,36,272.1,12,Home & Garden,74,1,3265.16,90,24+ months,11-15,High,Big Spenders
77,New,1,108.63,1,Clothing,101,1,108.63,30,0-3 months,1-2,Medium,At Risk
78,New,2,68.06,2,Books,6,0,136.12,30,0-3 months,1-2,Low,Potential Loyalists
79,Returning,5,211.51,2,Clothing,21,0,423.03,75,3-6 months,1-2,High,Potential Loyalists
80,Returning,3,81.22,5,Sports,9,0,406.09,18,0-3 months,3-5,Low,Loyal Customers
81,Returning,3,216.2,4,Home & Garden,10,0,864.79,22.5,0-3 months,3-5,High,Loyal Customers
82,New,2,140.97,1,Sports,4,0,140.97,60,0-3 months,1-2,Medium,Need Attention
83,New,3,84.66,1,Books,61,1,84.66,90,0-3 months,1-2,Low,At Risk
84,Returning,8,162.81,6,Electronics,11,0,976.84,40,6-12 months,6-10,Medium,Champions
85,Loyal,28,291.87,17,Home & Garden,15,0,4961.71,49.4,24+ months,15+,High,Champions
